AB,"Aschaffenburg, Bavaria"
ABG,"Altenburger Land, Thuringia"
AC,"Aachen, North-Rhine-Westphalia"
AH,"Ahaus, North-Rhine-Westphalia"
AIB,"Bad Aibling, Bavaria"
AIC,"Aichach-Friedberg, Bavaria"
AE,"Auerbach, Saxony"
AK,"Altenkirchen (Westerwald), Rhineland Palatinate"
AL,"Altena, North-Rhine-Westphalia"
ALF,"Alfeld, Lower Saxony"
ALS,"Alsfeld, Hesse"
ALZ,"Alzenau, Bavaria"
AM,"Amberg, Bavaria"
AN,"Ansbach, Bavaria"
ANA,"Annaberg-Buchholz, Saxony"
ANG,"Angermünde, Brandenburg"
ANK,"Anklam, Mecklenburg-Vorpommern"
AÖ,"Altötting, Bavaria"
AP,"Apolda & Weimarer Land, Thuringia"
APD,"Apolda, Thuringia"
AR,"Arnsberg, North-Rhine-Westphalia"
ARN,"Arnstadt, Thuringia"
ART,"Artern, Thuringia"
AS,"Amberg-Sulzbach, Bavaria"
ASD,"Aschendorf, Lower Saxony"
ASL,"Aschersleben-Staßfurter Landkreis, Saxony-Anhalt"
ASZ,"Aue-Schwarzenberg, Saxony"
AT,"Alten-Treptow, Mecklenburg-Vorpommern"
AU,"Aue, Saxony"
AUR,"Aurich, Lower Saxony"
AW,"Ahrweiler, Rhineland Palatinate"
AZ,"Alzey-Worms, Rhineland Palatinate"
AZE,"Anhalt-Zerbst, Saxony-Anhalt"
B,"Berlin"
BA,"Bamberg, Bavaria"
BAD,"Baden-Baden, Baden-Württemberg"
BAR,"Barnim (Eberswalde), Brandenburg"
BB,"Böblingen, Baden-Württemberg"
BBG,"Bernburg, Saxony-Anhalt"
BBL,"Brandenburg Land official vehicles"
BC,"Biberach, Baden-Württemberg"
BCH,"Buchen, Baden-Württemberg"
BD,"Federal German government vehicles (Bundestag / Bundesrat / Bundesrepublik Deutschland)"
BE,"Bechum, North-Rhine-Westphalia"
BED,"Brand-Erbisdorf, Saxony"
BEI,"Beilingries, Bavaria"
